,DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep,start,end,t.diff,flag,divenum,depth,duration
134,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 3:21,9/4/2016 3:27,Dive,1,U,544,559.5,373,375,NA,NA,9/3/2016 23:21,9/3/2016 23:27,0,0,58,551.75,374
135,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 3:27,9/4/2016 3:37,Surface,NA,,NA,NA,629,631,467,163,9/3/2016 23:27,9/3/2016 23:37,0,0,58,NA,630
136,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 3:37,9/4/2016 3:47,Dive,1,U,560,575.5,597,599,NA,NA,9/3/2016 23:37,9/3/2016 23:47,0,0,59,567.75,598
137,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 3:47,9/4/2016 4:02,Surface,NA,,NA,NA,879,881,653,227,9/3/2016 23:47,9/4/2016 0:02,0,0,59,NA,880
138,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 4:02,9/4/2016 4:12,Dive,1,U,608,623.5,581,583,NA,NA,9/4/2016 0:02,9/4/2016 0:12,0,0,60,615.75,582
139,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 4:12,9/4/2016 4:36,Surface,NA,,NA,NA,1441,1443,1256,186,9/4/2016 0:12,9/4/2016 0:36,0,0,60,NA,1442
140,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 4:36,9/4/2016 4:46,Dive,1,U,720,735.5,639,641,NA,NA,9/4/2016 0:36,9/4/2016 0:46,0,0,61,727.75,640
141,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 4:46,9/4/2016 4:59,Surface,NA,,NA,NA,723,725,397,327,9/4/2016 0:46,9/4/2016 0:59,0,0,61,NA,724
145,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 6:39,9/4/2016 6:47,Dive,1,Square,276,283.5,467,469,NA,NA,9/4/2016 2:39,9/4/2016 2:47,0,0,62,279.75,468
146,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 6:47,9/4/2016 6:50,Surface,NA,,NA,NA,181,183,170,12,9/4/2016 2:47,9/4/2016 2:50,0,0,62,NA,182
147,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 6:50,9/4/2016 6:57,Dive,1,U,284,291.5,461,463,NA,NA,9/4/2016 2:50,9/4/2016 2:57,0,0,63,287.75,462
148,Tt0019,110606,NA,Transmission,Mk10,1,9/4/2016 6:57,9/4/2016 7:30,Surface,NA,,NA,NA,1951,1953,1700,252,9/4/2016 2:57,9/4/2016 3:30,0,0,63,NA,1952
